id	source	nvrtc-o3_classification	nvrtc-o3_return_code	nvrtc-o3_executed	nvrtc-o3_passed	nvrtc-o3_ignored	nvvm-o0_classification	nvvm-o0_return_code	nvvm-o0_executed	nvvm-o0_passed	nvvm-o0_ignored	nvvm-o3_classification	nvvm-o3_return_code	nvvm-o3_executed	nvvm-o3_passed	nvvm-o3_ignored	evidence_status
bindings/nested-parameter-block-2.slang#discovery-1	bindings/nested-parameter-block-2.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bindings/nested-parameter-block-3.slang#discovery-1	bindings/nested-parameter-block-3.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/addr-scope-fix.slang#discovery-1	bugs/addr-scope-fix.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/array-of-array-in-sb.slang#discovery-1	bugs/array-of-array-in-sb.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/array-size-groupshared.slang#discovery-1	bugs/array-size-groupshared.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/atomic-coerce.slang#discovery-1	bugs/atomic-coerce.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/byte-address-buffer-interlocked-add-f32.slang#discovery-1	bugs/byte-address-buffer-interlocked-add-f32.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/empty-struct-parameter-block.slang#discovery-1	bugs/empty-struct-parameter-block.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/force-inline-array.slang#discovery-1	bugs/force-inline-array.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/generic-default-matrix.slang#discovery-1	bugs/generic-default-matrix.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/generic-groupshared.slang#discovery-1	bugs/generic-groupshared.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-6657-bindless-uniform.slang#discovery-1	bugs/gh-6657-bindless-uniform.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-6657-nonbindless-uniform.slang#discovery-1	bugs/gh-6657-nonbindless-uniform.slang	infrastructure	1	1	0	0	infrastructure	1	1	0	0	infrastructure	1	1	0	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/gh-7748-switch-continue-bug.slang#discovery-1	bugs/gh-7748-switch-continue-bug.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/matrix-divided-by-scalar.slang#discovery-1	bugs/matrix-divided-by-scalar.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/mutating/mutating-call-in-loop-dce.slang#discovery-1	bugs/mutating/mutating-call-in-loop-dce.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/nested-switch-continue-in-loop.slang#discovery-1	bugs/nested-switch-continue-in-loop.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/op-assignment-unify-mat.slang#discovery-1	bugs/op-assignment-unify-mat.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/parameter-block-load.slang#discovery-1	bugs/parameter-block-load.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
bugs/type-legalize-bug-1.slang#discovery-1	bugs/type-legalize-bug-1.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/atomics-buffer.slang#discovery-1	compute/atomics-buffer.slang	infrastructure	1	1	0	0	infrastructure	1	1	0	0	infrastructure	1	1	0	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/buffer-type-splitting.slang#discovery-1	compute/buffer-type-splitting.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/cbuffer-legalize.slang#discovery-1	compute/cbuffer-legalize.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/conditional-link-time-const.slang#discovery-1	compute/conditional-link-time-const.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/constexpr.slang#discovery-1	compute/constexpr.slang	infrastructure	1	1	0	0	infrastructure	1	1	0	0	infrastructure	1	1	0	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/func-cbuffer-param.slang#discovery-1	compute/func-cbuffer-param.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/generic-diamond-pattern-2.slang#discovery-1	compute/generic-diamond-pattern-2.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/generic-interface-method.slang#discovery-1	compute/generic-interface-method.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/generics-constrained.slang#discovery-1	compute/generics-constrained.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
compute/inout.slang#discovery-1	compute/inout.slang	correct	0	1	1	0	correct	0	1	1	0	correct	0	1	1	0	fresh-linux-l4-cuda12.9-sm80-relwithdebinfo-slice-204-full
