id	source	capability	reference_derived_from_direct	coverage_tier	scope_reason	nvrtc-o3_classification	nvrtc-o3_elapsed_ms	nvrtc-o3_shape	nvrtc-o3_cluster	nvrtc-o3_producer	nvrtc-o3_diagnostic	nvvm-o0_classification	nvvm-o0_elapsed_ms	nvvm-o0_shape	nvvm-o0_cluster	nvvm-o0_producer	nvvm-o0_diagnostic	nvvm-o3_classification	nvvm-o3_elapsed_ms	nvvm-o3_shape	nvvm-o3_cluster	nvvm-o3_producer	nvvm-o3_diagnostic	evidence_status
bugs/empty-switch.slang#cuda-1	bugs/empty-switch.slang	cuda_sm_7_0	False	mvp		correct	7282					correct	6240					correct	7230					complete
bugs/frexp-double.slang#cuda-1	bugs/frexp-double.slang	cuda_sm_7_0	False	mvp		correct	7299					correct	7638					correct	7407					complete
bugs/frexp.slang#cuda-1	bugs/frexp.slang	cuda_sm_7_0	False	mvp		correct	7315					correct	7626					correct	6528					complete
bugs/gh-11627-flag-enum-compound-assign.slang#cuda-1	bugs/gh-11627-flag-enum-compound-assign.slang	cuda_sm_7_0	False	mvp		correct	7275					correct	6664					correct	7524					complete
bugs/gh-3637.slang#cuda-1	bugs/gh-3637.slang	cuda_sm_7_0	False	mvp		correct	6995					correct	7331					correct	7507					complete
bugs/gh-3980.slang#cuda-1	bugs/gh-3980.slang	cuda_sm_7_0	False	mvp		correct	6929					correct	6545					correct	6733					complete
bugs/gh-4533.slang#cuda-1	bugs/gh-4533.slang	cuda_sm_7_0	False	mvp		correct	7067					correct	6803					correct	7208					complete
bugs/gh-5776.slang#cuda-1	bugs/gh-5776.slang	cuda_sm_7_0	False	mvp		correct	6535					correct	7538					correct	7172					complete
bugs/gh-7441.slang#cuda-1	bugs/gh-7441.slang	cuda_sm_7_0	False	mvp		correct	5592					correct	5725					correct	5981					complete
bugs/gh-8121.slang#cuda-1	bugs/gh-8121.slang	cuda_sm_7_0	False	mvp		correct	5903					correct	5734					correct	6167					complete
bugs/gh-8185.slang#cuda-1	bugs/gh-8185.slang	cuda_sm_7_0	False	mvp		correct	6193					correct	6332					correct	6337					complete
bugs/legalize-defuse-no-zero-init-non-var-primitive.slang#cuda-1	bugs/legalize-defuse-no-zero-init-non-var-primitive.slang	cuda_sm_7_0	False	mvp		correct	6138					correct	6223					correct	7060					complete
bugs/legalize-defuse-no-zero-init-non-var.slang#cuda-1	bugs/legalize-defuse-no-zero-init-non-var.slang	cuda_sm_7_0	False	mvp		correct	6364					correct	6338					correct	6862					complete
bugs/legalize-defuse-no-zero-init.slang#cuda-1	bugs/legalize-defuse-no-zero-init.slang	cuda_sm_7_0	False	mvp		correct	6461					correct	6226					correct	6905					complete
bugs/loop-optimize.slang#cuda-1	bugs/loop-optimize.slang	cuda_sm_7_0	False	mvp		correct	6125					correct	6320					correct	6819					complete
bugs/matrix-reshape.slang#cuda-1	bugs/matrix-reshape.slang	cuda_sm_7_0	False	mvp		correct	6467					correct	6323					correct	6750					complete
bugs/metal-return-value-lost.slang#cuda-1	bugs/metal-return-value-lost.slang	cuda_sm_7_0	False	mvp		correct	5330					correct	5772					correct	5704					complete
bugs/overload-ambiguous-1.slang#cuda-1	bugs/overload-ambiguous-1.slang	cuda_sm_7_0	False	mvp		correct	5576					correct	5720					correct	5790					complete
bugs/overload-ambiguous-2.slang#cuda-1	bugs/overload-ambiguous-2.slang	cuda_sm_7_0	False	mvp		correct	6005					correct	5852					correct	5931					complete
bugs/overload-ambiguous.slang#cuda-1	bugs/overload-ambiguous.slang	cuda_sm_7_0	False	mvp		correct	6119					correct	5907					correct	6019					complete
bugs/string-inline.slang#cuda-1	bugs/string-inline.slang	cuda_sm_7_0	False	mvp		correct	5962					correct	5810					correct	6382					complete
compute/array-existential-parameter.slang#cuda-1	compute/array-existential-parameter.slang	cuda_sm_7_0	False	mvp		correct	6118					correct	6081					correct	6277					complete
compute/array-param.slang#cuda-1	compute/array-param.slang	cuda_sm_7_0	False	mvp		correct	6030					correct	5919					correct	6516					complete
compute/assoctype-nested-lookup.slang#cuda-1	compute/assoctype-nested-lookup.slang	cuda_sm_7_0	False	mvp		correct	6031					correct	6042					correct	6368					complete
compute/atomics-groupshared.slang#cuda-1	compute/atomics-groupshared.slang	cuda_sm_7_0	False	mvp		correct	5508					correct	5540					correct	6012					complete
compute/atomics.slang#cuda-1	compute/atomics.slang	cuda_sm_7_0	False	mvp		correct	5294					correct	5487					correct	5803					complete
compute/bitcast-64bit.slang#cuda-1	compute/bitcast-64bit.slang	cuda_sm_7_0	False	mvp		correct	5497					correct	5448					correct	5673					complete
compute/bound-check-zero-index.slang#cuda-1	compute/bound-check-zero-index.slang	cuda_sm_7_0	False	mvp		correct	5821					runtime-mismatch	5556		runtime-bounds-zero-index	compiled PTX executed by the CUDA compare-compute harness	slang-test expected/actual runtime result mismatch	runtime-mismatch	5845		runtime-bounds-zero-index	compiled PTX executed by the CUDA compare-compute harness	slang-test expected/actual runtime result mismatch	complete
compute/buffer-layout.slang#cuda-1	compute/buffer-layout.slang	cuda_sm_7_0	False	mvp		correct	5792					correct	5678					correct	6210					complete
compute/byte-address-buffer-64bit.slang#cuda-1	compute/byte-address-buffer-64bit.slang	cuda_sm_7_0	True	mvp		correct	6103					correct	6145					correct	6260					complete
compute/byte-address-buffer-aligned.slang#cuda-1	compute/byte-address-buffer-aligned.slang	cuda_sm_7_0	False	mvp		correct	6227					correct	5921					correct	6269					complete
compute/byte-address-buffer-array.slang#cuda-1	compute/byte-address-buffer-array.slang	cuda_sm_7_0	False	mvp		correct	6196					correct	6027					correct	6188					complete
compute/byte-address-buffer-atomic-mixed-width-12265.slang#cuda-1	compute/byte-address-buffer-atomic-mixed-width-12265.slang	cuda_sm_7_0	False	mvp		infrastructure	5668		infrastructure-native-reference	NVRTC/toolkit or generated reference contract	warning[E41012]: profile implicitly upgraded	runtime-mismatch	5966		runtime-sm90-mixed-width-atomic	compiled PTX executed by the CUDA compare-compute harness	warning[E41012]: profile implicitly upgraded	runtime-mismatch	6211		runtime-sm90-mixed-width-atomic	compiled PTX executed by the CUDA compare-compute harness	warning[E41012]: profile implicitly upgraded	complete
compute/byte-address-buffer-atomic-via-helper-12265.slang#cuda-1	compute/byte-address-buffer-atomic-via-helper-12265.slang	cuda_sm_7_0	False	mvp		correct	5419					correct	5951					correct	6119					complete
compute/byte-address-buffer-singlearg-float3-11592.slang#cuda-1	compute/byte-address-buffer-singlearg-float3-11592.slang	cuda_sm_7_0	True	mvp		correct	5439					correct	5683					correct	5867					complete
compute/byte-address-buffer.slang#cuda-1	compute/byte-address-buffer.slang	cuda_sm_7_0	True	mvp		correct	5830					correct	5706					correct	5756					complete
compute/byte-address-buffer.slang#cuda-2	compute/byte-address-buffer.slang	cuda_sm_7_0	True	mvp		correct	5716					correct	5647					correct	5882					complete
compute/column-major.slang#cuda-1	compute/column-major.slang	cuda_sm_7_0	False	mvp		correct	5862					correct	5836					correct	6210					complete
compute/constant-buffer-memory-packing.slang#cuda-1	compute/constant-buffer-memory-packing.slang	cuda_sm_7_0	False	mvp		correct	5933					correct	6076					correct	6227					complete
compute/dot1-generic.slang#cuda-1	compute/dot1-generic.slang	cuda_sm_7_0	False	mvp		correct	5902					correct	6063					correct	6215					complete
compute/dot1.slang#cuda-1	compute/dot1.slang	cuda_sm_7_0	False	mvp		correct	5704					correct	5763					correct	6129					complete
compute/dynamic-dispatch-1.slang#cuda-1	compute/dynamic-dispatch-1.slang	cuda_sm_7_0	False	mvp		correct	5669					correct	5840					correct	6194					complete
compute/dynamic-dispatch-10.slang#cuda-1	compute/dynamic-dispatch-10.slang	cuda_sm_7_0	False	mvp		correct	5367					correct	5671					correct	5919					complete
compute/dynamic-dispatch-13.slang#cuda-1	compute/dynamic-dispatch-13.slang	cuda_sm_7_0	False	mvp		correct	5561					correct	5656					correct	5717					complete
compute/dynamic-dispatch-15.slang#cuda-1	compute/dynamic-dispatch-15.slang	cuda_sm_7_0	False	mvp		correct	5777					correct	5542					correct	5745					complete
compute/dynamic-dispatch-16.slang#cuda-1	compute/dynamic-dispatch-16.slang	cuda_sm_7_0	False	mvp		correct	5697					correct	5668					correct	6537					complete
compute/dynamic-dispatch-17.slang#cuda-1	compute/dynamic-dispatch-17.slang	cuda_sm_7_0	False	mvp		correct	5923					correct	5875					correct	6121					complete
compute/dynamic-dispatch-18.slang#cuda-1	compute/dynamic-dispatch-18.slang	cuda_sm_7_0	False	mvp		correct	5850					correct	5844					correct	6402					complete
compute/dynamic-dispatch-19.slang#cuda-1	compute/dynamic-dispatch-19.slang	cuda_sm_7_0	False	mvp		correct	5552					correct	5788					correct	6147					complete
compute/dynamic-dispatch-2.slang#cuda-1	compute/dynamic-dispatch-2.slang	cuda_sm_7_0	False	mvp		correct	5678					correct	5789					correct	6194					complete
compute/dynamic-dispatch-3.slang#cuda-1	compute/dynamic-dispatch-3.slang	cuda_sm_7_0	False	mvp		correct	5440					correct	5695					correct	6313					complete
compute/dynamic-dispatch-4.slang#cuda-1	compute/dynamic-dispatch-4.slang	cuda_sm_7_0	False	mvp		correct	5355					correct	5729					correct	5884					complete
compute/dynamic-dispatch-5.slang#cuda-1	compute/dynamic-dispatch-5.slang	cuda_sm_7_0	False	mvp		correct	5486					correct	5547					correct	5673					complete
compute/dynamic-dispatch-6.slang#cuda-1	compute/dynamic-dispatch-6.slang	cuda_sm_7_0	False	mvp		correct	5646					correct	5413					correct	5897					complete
compute/dynamic-dispatch-7.slang#cuda-1	compute/dynamic-dispatch-7.slang	cuda_sm_7_0	False	mvp		correct	5822					correct	5965					correct	6331					complete
compute/dynamic-dispatch-8.slang#cuda-1	compute/dynamic-dispatch-8.slang	cuda_sm_7_0	False	mvp		correct	5779					correct	5788					correct	6377					complete
compute/dynamic-dispatch-9.slang#cuda-1	compute/dynamic-dispatch-9.slang	cuda_sm_7_0	False	mvp		correct	5527					correct	5812					correct	6194					complete
compute/dynamic-dispatch-bindless-texture.slang#cuda-1	compute/dynamic-dispatch-bindless-texture.slang	cuda_sm_7_0	False	mvp		correct	5661					correct	5849					correct	6251					complete
compute/dynamic-dispatch-substandard-float.slang#cuda-1	compute/dynamic-dispatch-substandard-float.slang	cuda_sm_7_0	False	mvp		correct	5682					preflight	5864	helper function result type	helper-abi-type-contract	post-specialization linked IRFunc signature -> _validateNVVMHelperTarget	direct NVVM lowering does not support Slang IR instruction or shape 'helper function result type: A'	preflight	6184	helper function result type	helper-abi-type-contract	post-specialization linked IRFunc signature -> _validateNVVMHelperTarget	direct NVVM lowering does not support Slang IR instruction or shape 'helper function result type: A'	complete
compute/dynamic-generics-simple.slang#cuda-1	compute/dynamic-generics-simple.slang	cuda_sm_7_0	False	mvp		correct	5429					correct	5892					correct	6273					complete
compute/entry-point-uniform-params.slang#cuda-1	compute/entry-point-uniform-params.slang	cuda_sm_7_0	False	mvp		correct	5447					correct	5725					correct	5921					complete
compute/func-param-legalize.slang#cuda-1	compute/func-param-legalize.slang	cuda_sm_7_0	False	mvp		correct	5591					correct	5464					correct	5633					complete
compute/func-resource-param.slang#cuda-1	compute/func-resource-param.slang	cuda_sm_7_0	True	mvp		correct	5860					correct	5727					correct	6103					complete
compute/groupshared.slang#cuda-1	compute/groupshared.slang	cuda_sm_7_0	False	mvp		correct	5925					correct	5820					correct	6130					complete
compute/half-calc.slang#cuda-1	compute/half-calc.slang	cuda_sm_7_0	False	mvp		correct	5439					correct	5662					correct	5939					complete
compute/half-opaque-convert.slang#cuda-1	compute/half-opaque-convert.slang	cuda_sm_7_0	False	mvp		correct	5559					correct	5930					correct	6122					complete
